00000001400016d0|jmp 0x140017a41
0000000140017a41|push 0x1678f
0000000140017a46|jmp 0x140016000
0000000140016000|push r15
0000000140016002|push r14
0000000140016004|push r13
0000000140016006|push r12
0000000140016008|push r11
000000014001600a|push r10
000000014001600c|push r9
000000014001600e|push r8
0000000140016010|push rbp
0000000140016011|push rdi
0000000140016012|push rsi
0000000140016013|push rdx
0000000140016014|push rcx
0000000140016015|push rbx
0000000140016016|push rax
0000000140016017|pushfq
0000000140016018|mov r15, rsp
000000014001601b|sub rsp, 0x100
0000000140016022|mov r14, qword ptr gs:[0x60]
000000014001602b|mov r14, qword ptr [r14 + 0x10]
000000014001602f|mov qword ptr [rsp + 0x88], r14
0000000140016037|mov r13d, dword ptr [r15 + 0x80]
000000014001603e|add r13, r14
0000000140016041|mov eax, dword ptr [r13]
0000000140016045|add r13, 4
0000000140016049|add rax, r14
000000014001604c|jmp rax
0000000140016101|mov rax, qword ptr [r13]
0000000140016105|and rax, 0xff
000000014001610b|inc r13
000000014001610e|mov rbx, qword ptr [r15]
0000000140016111|add r15, 8
0000000140016115|mov qword ptr [rsp + rax*8], rbx
0000000140016119|mov eax, dword ptr [r13]
000000014001611d|add r13, 4
0000000140016121|add rax, r14
0000000140016124|jmp rax
0000000140016101|mov rax, qword ptr [r13]
0000000140016105|and rax, 0xff
000000014001610b|inc r13
000000014001610e|mov rbx, qword ptr [r15]
0000000140016111|add r15, 8
0000000140016115|mov qword ptr [rsp + rax*8], rbx
0000000140016119|mov eax, dword ptr [r13]
000000014001611d|add r13, 4
0000000140016121|add rax, r14
0000000140016124|jmp rax
0000000140016101|mov rax, qword ptr [r13]
0000000140016105|and rax, 0xff
000000014001610b|inc r13
000000014001610e|mov rbx, qword ptr [r15]
0000000140016111|add r15, 8
0000000140016115|mov qword ptr [rsp + rax*8], rbx
0000000140016119|mov eax, dword ptr [r13]
000000014001611d|add r13, 4
0000000140016121|add rax, r14
0000000140016124|jmp rax
0000000140016101|mov rax, qword ptr [r13]
0000000140016105|and rax, 0xff
000000014001610b|inc r13
000000014001610e|mov rbx, qword ptr [r15]
0000000140016111|add r15, 8
0000000140016115|mov qword ptr [rsp + rax*8], rbx
0000000140016119|mov eax, dword ptr [r13]
000000014001611d|add r13, 4
0000000140016121|add rax, r14
0000000140016124|jmp rax
0000000140016101|mov rax, qword ptr [r13]
0000000140016105|and rax, 0xff
000000014001610b|inc r13
000000014001610e|mov rbx, qword ptr [r15]
0000000140016111|add r15, 8
0000000140016115|mov qword ptr [rsp + rax*8], rbx
0000000140016119|mov eax, dword ptr [r13]
000000014001611d|add r13, 4
0000000140016121|add rax, r14
0000000140016124|jmp rax
0000000140016101|mov rax, qword ptr [r13]
0000000140016105|and rax, 0xff
000000014001610b|inc r13
000000014001610e|mov rbx, qword ptr [r15]
0000000140016111|add r15, 8
0000000140016115|mov qword ptr [rsp + rax*8], rbx
0000000140016119|mov eax, dword ptr [r13]
000000014001611d|add r13, 4
0000000140016121|add rax, r14
0000000140016124|jmp rax
0000000140016101|mov rax, qword ptr [r13]
0000000140016105|and rax, 0xff
000000014001610b|inc r13
000000014001610e|mov rbx, qword ptr [r15]
0000000140016111|add r15, 8
0000000140016115|mov qword ptr [rsp + rax*8], rbx
0000000140016119|mov eax, dword ptr [r13]
000000014001611d|add r13, 4
0000000140016121|add rax, r14
0000000140016124|jmp rax
0000000140016101|mov rax, qword ptr [r13]
0000000140016105|and rax, 0xff
000000014001610b|inc r13
000000014001610e|mov rbx, qword ptr [r15]
0000000140016111|add r15, 8
0000000140016115|mov qword ptr [rsp + rax*8], rbx
0000000140016119|mov eax, dword ptr [r13]
000000014001611d|add r13, 4
0000000140016121|add rax, r14
0000000140016124|jmp rax
0000000140016101|mov rax, qword ptr [r13]
0000000140016105|and rax, 0xff
000000014001610b|inc r13
000000014001610e|mov rbx, qword ptr [r15]
0000000140016111|add r15, 8
0000000140016115|mov qword ptr [rsp + rax*8], rbx
0000000140016119|mov eax, dword ptr [r13]
000000014001611d|add r13, 4
0000000140016121|add rax, r14
0000000140016124|jmp rax
0000000140016101|mov rax, qword ptr [r13]
0000000140016105|and rax, 0xff
000000014001610b|inc r13
000000014001610e|mov rbx, qword ptr [r15]
0000000140016111|add r15, 8
0000000140016115|mov qword ptr [rsp + rax*8], rbx
0000000140016119|mov eax, dword ptr [r13]
000000014001611d|add r13, 4
0000000140016121|add rax, r14
0000000140016124|jmp rax
0000000140016101|mov rax, qword ptr [r13]
0000000140016105|and rax, 0xff
000000014001610b|inc r13
000000014001610e|mov rbx, qword ptr [r15]
0000000140016111|add r15, 8
0000000140016115|mov qword ptr [rsp + rax*8], rbx
0000000140016119|mov eax, dword ptr [r13]
000000014001611d|add r13, 4
0000000140016121|add rax, r14
0000000140016124|jmp rax
0000000140016101|mov rax, qword ptr [r13]
0000000140016105|and rax, 0xff
000000014001610b|inc r13
000000014001610e|mov rbx, qword ptr [r15]
0000000140016111|add r15, 8
0000000140016115|mov qword ptr [rsp + rax*8], rbx
0000000140016119|mov eax, dword ptr [r13]
000000014001611d|add r13, 4
0000000140016121|add rax, r14
0000000140016124|jmp rax
0000000140016101|mov rax, qword ptr [r13]
0000000140016105|and rax, 0xff
000000014001610b|inc r13
000000014001610e|mov rbx, qword ptr [r15]
0000000140016111|add r15, 8
